english	twi	validated_by	date	source	notes
What is savings?	Sika sie dɛn ne?	pending		FinLing seed	
Savings is money you keep aside from your income.	Sika sie yɛ sika a wode sie firi wo mfasoɛ mu.	pending		FinLing seed	
What is a loan?	Sika bo dɛn ne?	pending		FinLing seed	
A loan is money you borrow and pay back with interest.	Sika bo yɛ sika a wohwɛ na wotua ka ne ho sika.	pending		FinLing seed	
What is mobile money?	Momo dɛn ne?	pending		FinLing seed	
Mobile money lets you send and receive money with your phone.	Momo de wo ho kwan ma wo sɛ wo de wo telefon tua sika na wanya sika.	pending		FinLing seed	
What is a budget?	Sika nhyehyɛe dɛn ne?	pending		FinLing seed	
A budget is a plan for how to spend your money.	Sika nhyehyɛe yɛ nhyehyɛe a ɛkyerɛ sɛnea wobɛdi wo sika.	pending		FinLing seed	
What is interest?	Sika a ɛba ho dɛn ne?	pending		FinLing seed	
Interest is extra money paid on a loan or earned on savings.	Sika a ɛba ho yɛ sika a wotua sɛ ka ho anaasɛ wanya firi sika sie mu.	pending		FinLing seed	
